id,name,category,address,district,hours,rating,chain,seats
728b11f0515b415d98893c8b7abd3942,Пион,кафе,"Москва, Центральный парк культуры и отдыха имени М. Горького",Центральный административный округ,"ежедневно, 10:00–00:00",4.9,1,
3eb89c85ad104f4ea4a738807f18130c,Cafe&Bar,"бар,паб","Москва, Нахимовский проспект, 63",Юго-Западный административный округ,,4.4,0,63.0
0851e049ac514a7abf2fc6395872b76b,Cofix,кофейня,"Москва, улица Орджоникидзе, 11с1А",Южный административный округ,"ежедневно, 10:00–22:00",2.0,1,
06b9b1de3c2c4e15ab8a2a5d8432da35,Яндекс Лавка,ресторан,"Москва, Кооперативная улица, 2, корп. 14",Центральный административный округ,"ежедневно, 07:00–23:00",3.8,1,
67ab01886f3648f6bbfef4f69dafc634,Боцман,"бар,паб","Москва, 5-я Кожуховская улица, 10",Южный административный округ,"ежедневно, 11:30–23:30",4.6,0,36.0
2d9cf5b09c2640588b0dbeca5dfb0923,Платформа 9 3/4,кофейня,"Москва, Автозаводская улица, 23Б, корп. 2",Южный административный округ,"ежедневно, 10:00–22:00",3.4,0,50.0
33a8d5f811b84346b4d7b68c1e26e413,Бар Б К'ю ОКС,быстрое питание,"Москва, улица Ленинская Слобода, 19, стр. 2",Южный административный округ,"пн-пт 08:00–21:00; сб,вс 09:00–21:00",5.0,0,130.0
0cc284d9ec5d4ee0abaddf52534aa405,Bar Zero Time,"бар,паб","Москва, Автозаводская улица, 17, стр. 2",Южный административный округ,"пн-чт 11:00–00:00; пт 11:00–02:00; сб,вс 12:00–00:00",4.9,0,50.0
71d998a1bbcd4a658fe59d953deae55e,StrEAT,ресторан,"Москва, улица Ленинская Слобода, 26",Южный административный округ,пн-чт 10:00–22:00; пт 10:00–23:00; сб 11:00–23:00; вс 11:00–22:00,3.4,0,150.0
12228034b7674f0199fac65df7dd2e36,Яндекс Лавка,ресторан,"Москва, улица Трофимова, 4",Южный административный округ,"ежедневно, 08:00–23:00",4.1,1,
f28334a7b7f048fa9862da7e0d0d6bcf,Стражек,ресторан,"Москва, улица Мастеркова, 8",Южный административный округ,"ежедневно, 12:00–00:00",4.5,0,96.0
