id,price,avg_bill,middle_avg_bill,middle_coffee_cup
64ef57fa7eaf467bae2ab1466f83c124,средние,Средний счёт:150–300 ₽,225.0,
97a72b3307984f8faf8627548d8a8db5,средние,Средний счёт:250–300 ₽,275.0,
b869986e5906446fb99cc68c6405077e,,Средний счёт:291 ₽,291.0,
074c337d31a549bf9da00452b8335a82,средние,Средний счёт:от 700 ₽,700.0,
e777cae7ef134f538746f30abc97f0b9,,Средний счёт:260–300 ₽,280.0,
3c254fa3d53f47a8993db6d111ccafb4,,Средний счёт:250–400 ₽,325.0,
81ce0f48a4404ff1bc2833ca23092af3,высокие,Средний счёт:1500–3000 ₽,2250.0,
9ddef4fccfb54baea506e52c9e4af7d9,высокие,Средний счёт:2500–3000 ₽,2750.0,
46aecab9dc614bf2bdbe366b3d525670,средние,Средний счёт:1000 ₽,1000.0,
e57ed8bf02e0406dbcbc70dd72801541,выше среднего,Средний счёт:от 1500 ₽,1500.0,
81ef36f91236455b88348ff85b64d803,выше среднего,Средний счёт:1000–1500 ₽,1250.0,
4f75bbe103064313a03ddf510f7e402a,средние,Средний счёт:400–500 ₽,450.0,
f5223c499fb34df38aca0a8cd8a29dcb,средние,Средний счёт:350–550 ₽,450.0,
3ae1bce2c17045e7b7b388a2eac65cd5,средние,Средний счёт:300–500 ₽,400.0,
f6623b42d3e243edba11e135e9b024e9,высокие,,,
297f8165598b41b7b726a3a98047c0ed,выше среднего,Средний счёт:1000–2000 ₽,1500.0,
ac252657a290446cb22be7caca22051c,выше среднего,Средний счёт:1200–1600 ₽,1400.0,
dba891bf23e045728c433c54c9ae4f10,высокие,Средний счёт:2000–3000 ₽,2500.0,
1c5facc6443e427dba0c2f28d89e5042,выше среднего,Средний счёт:1000–1500 ₽,1250.0,
6453f9dbe2e84457851a9f7a4b3a267d,средние,Цена чашки капучино:200–300 ₽,,250.0
3978da54f4f249eb913a2ee577ce8fac,средние,Средний счёт:500 ₽,500.0,
235082148a1a4b7eb291f5534265a2e7,средние,Средний счёт:1800–2500 ₽,2150.0,
7eca4268364443f99672e0e75fb222dc,выше среднего,Средний счёт:от 1500 ₽,1500.0,
580018f78253477f85accecc0978d394,,Средний счёт:900–1100 ₽,1000.0,
e89f067616e742868600339d2791d2ff,средние,Средний счёт:500–1000 ₽,750.0,
6d4db203b81c4b9aa319e59ae914991d,средние,Средний счёт:1000–1200 ₽,1100.0,
9e539a22d5c6492697bb24343ef64587,средние,Средний счёт:500–700 ₽,600.0,
fd79cd986ea14682baeb985eddb1030d,высокие,Средний счёт:4500–5500 ₽,5000.0,
47444edaf2b343df92b4744082553975,средние,Средний счёт:700–1000 ₽,850.0,
49c908c384c74bcf9e9b39eebb243893,выше среднего,Средний счёт:1000–1500 ₽,1250.0,
872abd663acb49efbdece75038ed2145,средние,Средний счёт:700–1300 ₽,1000.0,
967d5782e9c64cddaf01e2b2cc3e03e3,средние,Цена чашки капучино:150–180 ₽,,165.0
f5fbe729098b4e93aa4b333507c9d015,выше среднего,Средний счёт:600–2000 ₽,1300.0,
28141b43abae4c82878c8b8b2889b249,,Средний счёт:1000–1500 ₽,1250.0,
a71cf459c701457dbc2ca221dcc201bc,средние,Средний счёт:500–800 ₽,650.0,
d71df40ce12c4f38a551ec56a0739cc4,средние,Средний счёт:650–1000 ₽,825.0,
897409a5b3d0488982f21824be9710cf,средние,Средний счёт:1000–1500 ₽,1250.0,
34f092e0d3f941d0b7b5a3f6553b695a,средние,Средний счёт:от 350 ₽,350.0,
817262f0b6db4b5a9cf1b7250a2009b4,высокие,Средний счёт:1500–2000 ₽,1750.0,
d5cc9c4cd4344ef0be8c9994406a88a3,выше среднего,Средний счёт:от 1500 ₽,1500.0,
ebba11b21efa4987a9a7265e4093b031,средние,Средний счёт:250–1000 ₽,625.0,
5c8e2228bf1d488e8dfd3a47d4ee6c1a,высокие,Средний счёт:2500 ₽,2500.0,
5a2a7476d34747eb875180e9d03fecc2,,Цена чашки капучино:239–274 ₽,,256.0
3d75765663ac43cdb3679f74f54fbb77,,Цена чашки капучино:119–179 ₽,,149.0
18e153ecbdcb44dcbc9dd6055b246c73,,Средний счёт:300–350 ₽,325.0,
b448f58132774eca81b069621c2afa64,выше среднего,Средний счёт:1000–1500 ₽,1250.0,
384444f60f354236af32f3586a9be4e8,средние,Средний счёт:300–600 ₽,450.0,
9e844114d8be43c681f66b22159e0cc3,средние,,,
ff8b8948c545458b9ef990cc7e8acf97,средние,Средний счёт:800–1200 ₽,1000.0,
b261c7f116ab4d57b6afbee2c9b8cd35,средние,Средний счёт:200–300 ₽,250.0,
252d3dfb8d2447daae244be752151273,высокие,Средний счёт:1500–5000 ₽,3250.0,
5d1c24fba36e476481e99f4d78ec7847,высокие,Средний счёт:1500–2500 ₽,2000.0,
112f00c957994ce88f48b1a4e985dd86,выше среднего,Средний счёт:1000–1500 ₽,1250.0,
20af1bbdb9ff4e2784b4cac74a7f9b3d,средние,Средний счёт:1000–1300 ₽,1150.0,
f5f3a86377b84281b57685fcc1303c26,,Цена чашки капучино:100–170 ₽,,135.0
ab1775018fe44b33a6a7a1d6d0ac2f7b,средние,Цена чашки капучино:239–274 ₽,,256.0
e199c6246c114ddb80d6e71271b541f1,средние,Средний счёт:600–750 ₽,675.0,
